filter,coin_name,kyc_or_not,presale,per_of_release,current_presale,soft,hard,currency,progress_percentage,day_hour_min_sec,current_date
Inprogress , Clicks Platform , Yes , Inprogress , Project will receive 80% at first release ,0.0," 25,000 "," 50,000 ", USDT , 0.00% , 18:03:57:51 , 2023-09-12
Inprogress , BEST TESLA COIN , No , Inprogress , Project will receive 30% at first release ,0.25, 100 , 200 , BNB , 0.13% , 03:12:35:43 , 2023-09-12
Inprogress , Matrix Exchange Global Shares Pressale , No , Inprogress , Project will receive 40% at first release ,0.0," 1,000,000 "," 2,000,000 ", USDT , 0.00% , 79:08:21:34 , 2023-09-12
Inprogress , wallstreet pepe , No , Inprogress , Project will receive 55% at first release ,0.3, 7 , 14 , BNB , 2.14% , 07:09:18:26 , 2023-09-12
